Tarih;Saat;Tüketim Miktarı(MWh)
01.01.2023;00:00;28.836,10
01.01.2023;01:00;27.608,62
01.01.2023;02:00;26.347,75
01.01.2023;03:00;25.243,18
01.01.2023;04:00;24.654,99
01.01.2023;05:00;24.395,20
01.01.2023;06:00;24.512,50
01.01.2023;07:00;24.937,86
01.01.2023;08:00;24.568,66
01.01.2023;09:00;25.767,91
01.01.2023;10:00;27.407,12
01.01.2023;11:00;28.656,97
01.01.2023;12:00;29.281,34
01.01.2023;13:00;29.404,16
01.01.2023;14:00;29.114,00
01.01.2023;15:00;29.009,78
01.01.2023;16:00;29.862,22
01.01.2023;17:00;31.994,08
01.01.2023;18:00;34.257,37
01.01.2023;19:00;34.378,26
01.01.2023;20:00;33.765,53
01.01.2023;21:00;32.960,54
01.01.2023;22:00;32.127,19
01.01.2023;23:00;30.739,23
02.01.2023;00:00;29.198,11
02.01.2023;01:00;27.687,17
02.01.2023;02:00;26.667,50
02.01.2023;03:00;26.224,81
02.01.2023;04:00;26.165,36
02.01.2023;05:00;26.571,11
02.01.2023;06:00;27.973,30
02.01.2023;07:00;31.575,30
02.01.2023;08:00;37.263,15
02.01.2023;09:00;40.481,02
02.01.2023;10:00;41.753,53
02.01.2023;11:00;42.075,44
02.01.2023;12:00;40.172,23
02.01.2023;13:00;39.776,83
02.01.2023;14:00;40.272,41
02.01.2023;15:00;39.866,81
02.01.2023;16:00;40.229,97
02.01.2023;17:00;41.622,90
02.01.2023;18:00;41.537,69
02.01.2023;19:00;40.344,94
02.01.2023;20:00;39.466,51
02.01.2023;21:00;38.482,55
02.01.2023;22:00;37.414,91
02.01.2023;23:00;35.704,94
03.01.2023;00:00;33.304,46
03.01.2023;01:00;31.797,05
03.01.2023;02:00;30.727,66
03.01.2023;03:00;29.950,69
03.01.2023;04:00;29.938,03
03.01.2023;05:00;30.231,98
03.01.2023;06:00;31.536,68
03.01.2023;07:00;34.270,40
03.01.2023;08:00;39.473,49
03.01.2023;09:00;41.306,82
03.01.2023;10:00;42.678,04
03.01.2023;11:00;42.678,41
03.01.2023;12:00;40.565,61
03.01.2023;13:00;40.564,47
03.01.2023;14:00;40.842,32
03.01.2023;15:00;40.359,10
03.01.2023;16:00;40.607,78
03.01.2023;17:00;41.830,81
03.01.2023;18:00;42.165,87
03.01.2023;19:00;41.140,45
03.01.2023;20:00;40.266,85
03.01.2023;21:00;39.201,80
03.01.2023;22:00;38.160,32
03.01.2023;23:00;36.317,94
04.01.2023;00:00;34.003,23
04.01.2023;01:00;32.310,49
04.01.2023;02:00;31.079,66
04.01.2023;03:00;30.617,90
04.01.2023;04:00;30.278,02
04.01.2023;05:00;30.607,14
04.01.2023;06:00;32.014,21
04.01.2023;07:00;35.168,90
04.01.2023;08:00;39.690,65
04.01.2023;09:00;42.374,66
04.01.2023;10:00;42.856,25
04.01.2023;11:00;43.036,78
04.01.2023;12:00;41.145,40
04.01.2023;13:00;41.220,55
04.01.2023;14:00;41.903,25
04.01.2023;15:00;41.427,76
04.01.2023;16:00;41.849,73
04.01.2023;17:00;42.936,77
04.01.2023;18:00;42.820,57
04.01.2023;19:00;41.604,57
04.01.2023;20:00;40.477,58
04.01.2023;21:00;39.256,60
04.01.2023;22:00;38.307,75
04.01.2023;23:00;36.552,57
05.01.2023;00:00;34.180,67
05.01.2023;01:00;32.491,43
05.01.2023;02:00;31.240,60
05.01.2023;03:00;30.859,06
05.01.2023;04:00;30.562,22
05.01.2023;05:00;30.962,62
05.01.2023;06:00;32.354,31
05.01.2023;07:00;35.281,23
05.01.2023;08:00;39.807,23
05.01.2023;09:00;42.392,88
05.01.2023;10:00;42.829,44
05.01.2023;11:00;42.770,73
05.01.2023;12:00;39.984,60
05.01.2023;13:00;40.665,03
05.01.2023;14:00;41.186,77
05.01.2023;15:00;40.582,74
05.01.2023;16:00;40.809,93
